Dimension;Threads_num;Elapsed_time;GFLOPS;Speedup_dense;Efficiency_dense
500;1;0.502003;0.498005;1.000000;100.000000
500;2;0.263361;0.949267;1.906140;95.307012
500;4;0.139082;1.797502;3.609403;90.235077
500;8;0.063702;3.924495;7.880490;98.506130
500;16;0.032124;7.782443;15.627039;97.668994
500;32;0.016180;15.451091;31.026143;96.956698
500;64;0.008081;30.937463;62.121396;97.064681
1000;1;4.493901;0.445048;1.000000;100.000000
1000;2;2.243545;0.891446;2.003036;100.151791
1000;4;1.132803;1.765532;3.967063;99.176578
1000;8;0.572014;3.496418;7.856278;98.203475
1000;16;0.299309;6.682056;15.014253;93.839080
1000;32;0.140212;14.264096;32.050759;100.158621
1000;64;0.070924;28.199243;63.362205;99.003445
2000;1;43.562821;0.367286;1.000000;100.000000
2000;2;28.370679;0.563963;1.535487;76.774372
2000;4;10.083263;1.586788;4.320310;108.007748
2000;8;5.065597;3.158562;8.599741;107.496760
2000;16;2.540204;6.298706;17.149340;107.183372
2000;32;1.330704;12.023715;32.736672;102.302101
2000;64;0.905916;17.661681;48.087042;75.136004
4000;1;536.013236;0.238800;1.000000;100.000000
4000;2;248.298123;0.515509;2.158749;107.937432
4000;4;126.391029;1.012730;4.240912;106.022801
4000;8;68.747218;1.861894;7.796872;97.460896
4000;16;36.863606;3.472259;14.540445;90.877781
4000;32;19.285557;6.637091;27.793506;86.854705
4000;64;11.586069;11.047750;46.263598;72.286872
