Dimension;Threads_num;Elapsed_time;GFLOPS
500;1;1.230000;0.203252
500;1;0.502003;0.498005
500;2;0.263361;0.949267
500;4;0.139082;1.797502
500;8;0.063702;3.924495
500;16;0.032124;7.782443
500;32;0.016180;15.451091
500;64;0.008081;30.937463
1000;1;4.610000;0.433839
1000;1;4.493901;0.445048
1000;2;2.243545;0.891446
1000;4;1.132803;1.765532
1000;8;0.572014;3.496418
1000;16;0.299309;6.682056
1000;32;0.140212;14.264096
1000;64;0.070924;28.199243
2000;1;31.690000;0.504891
2000;1;43.562821;0.367286
2000;2;28.370679;0.563963
2000;4;10.083263;1.586788
2000;8;5.065597;3.158562
2000;16;2.540204;6.298706
2000;32;1.330704;12.023715
2000;64;0.905916;17.661681
4000;1;251.830000;0.508279
4000;1;536.013236;0.238800
4000;2;248.298123;0.515509
4000;4;126.391029;1.012730
4000;8;68.747218;1.861894
4000;16;36.863606;3.472259
4000;32;19.285557;6.637091
4000;64;11.586069;11.047750
