Dimension;Threads;Elapsed time;Method;Bandwidth
1250;1;0.017500;parallel;0.71
1250;2;0.006868;parallel;1.82
1250;4;0.005151;parallel;2.43
1250;8;0.002690;parallel;4.65
1250;16;0.001519;parallel;8.23
1250;32;0.000864;parallel;14.47
1250;64;0.000533;parallel;23.45
5000;1;0.433587;parallel;0.46
5000;2;0.173988;parallel;1.15
5000;4;0.091507;parallel;2.19
5000;8;0.173496;parallel;1.15
5000;16;0.125843;parallel;1.59
5000;32;0.015096;parallel;13.25
5000;64;0.009048;parallel;22.10
20000;1;9.681997;parallel;0.33
20000;2;4.898556;parallel;0.65
20000;4;2.401035;parallel;1.33
20000;8;1.999748;parallel;1.60
20000;16;1.293617;parallel;2.47
20000;32;0.772922;parallel;4.14
20000;64;0.667974;parallel;4.79
80000;1;64.783933;parallel;0.79
80000;2;34.668948;parallel;1.48
80000;4;18.649299;parallel;2.75
80000;8;10.725130;parallel;4.77
80000;16;6.443242;parallel;7.95
80000;32;4.386200;parallel;11.67
80000;64;3.039912;parallel;16.84
