Dimension;Threads_num;Elapsed time;Block size.Method;Column1;Bandwidth
1250;1;0.019682;2;parallel;0.64
1250;2;0.048768;2;parallel;0.26
1250;4;0.026257;2;parallel;0.48
1250;8;0.037172;2;parallel;0.34
1250;16;0.025995;2;parallel;0.48
1250;32;0.001333;2;parallel;9.38
1250;64;0.000868;2;parallel;14.40
1250;1;0.021174;5;parallel;0.59
1250;2;0.011052;5;parallel;1.13
1250;4;0.006578;5;parallel;1.90
1250;8;0.003654;5;parallel;3.42
1250;16;0.002075;5;parallel;6.02
1250;32;0.001138;5;parallel;10.98
1250;64;0.000726;5;parallel;17.22
1250;1;0.019263;10;parallel;0.65
1250;2;0.014690;10;parallel;0.85
1250;4;0.008823;10;parallel;1.42
1250;8;0.003007;10;parallel;4.16
1250;16;0.001684;10;parallel;7.42
1250;32;0.000949;10;parallel;13.17
1250;64;0.000532;10;parallel;23.50
1250;1;0.018199;25;parallel;0.69
1250;2;0.124963;25;parallel;0.10
1250;4;0.018412;25;parallel;0.68
1250;8;0.014811;25;parallel;0.84
1250;16;0.039002;25;parallel;0.32
1250;32;0.026001;25;parallel;0.48
1250;64;0.025998;25;parallel;0.48





5000;1;0.518230;2;parallel;0.39
5000;2;0.290385;2;parallel;0.69
5000;4;0.440227;2;parallel;0.45
5000;8;0.063671;2;parallel;3.14
5000;16;0.058404;2;parallel;3.42
5000;32;0.045742;2;parallel;4.37
5000;64;0.016808;2;parallel;11.90
5000;1;0.353036;4;parallel;0.57
5000;2;0.278296;4;parallel;0.72
5000;4;0.130430;4;parallel;1.53
5000;8;0.105716;4;parallel;1.89
5000;16;0.048397;4;parallel;4.13
5000;32;0.023896;4;parallel;8.37
5000;64;0.015581;4;parallel;12.84
5000;1;0.377730;5;parallel;0.53
5000;2;0.270309;5;parallel;0.74
5000;4;0.119966;5;parallel;1.67
5000;8;0.068631;5;parallel;2.91
5000;16;0.034004;5;parallel;5.88
5000;32;0.034772;5;parallel;5.75
5000;64;0.066399;5;parallel;3.01
5000;1;0.383030;8;parallel;0.52
5000;2;0.149874;8;parallel;1.33
5000;4;0.340487;8;parallel;0.59
5000;8;0.101525;8;parallel;1.97
5000;16;0.033010;8;parallel;6.06
5000;32;0.021877;8;parallel;9.14
5000;64;0.014036;8;parallel;14.25
5000;1;0.400147;10;parallel;0.50
5000;2;0.191515;10;parallel;1.04
5000;4;0.136268;10;parallel;1.47
5000;8;0.055374;10;parallel;3.61
5000;16;0.028766;10;parallel;6.95
5000;32;0.019454;10;parallel;10.28
5000;64;0.013950;10;parallel;14.34
5000;1;0.556238;20;parallel;0.36
5000;2;0.229751;20;parallel;0.87
5000;4;0.103688;20;parallel;1.93
5000;8;0.051024;20;parallel;3.92
5000;16;0.030945;20;parallel;6.46
5000;32;0.019981;20;parallel;10.01
5000;64;0.014152;20;parallel;14.13
5000;1;0.404520;25;parallel;0.49
5000;2;0.295320;25;parallel;0.68
5000;4;0.089847;25;parallel;2.23
5000;8;0.104523;25;parallel;1.91
5000;16;0.031242;25;parallel;6.40
5000;32;0.020242;25;parallel;9.88
5000;64;0.079636;25;parallel;2.51
5000;1;0.282205;40;parallel;0.71
5000;2;0.250471;40;parallel;0.80
5000;4;0.147892;40;parallel;1.35
5000;8;0.048987;40;parallel;4.08
5000;16;0.154729;40;parallel;1.29
5000;32;0.072034;40;parallel;2.78
5000;64;0.018004;40;parallel;11.11
5000;1;0.274277;50;parallel;0.73
5000;2;0.257894;50;parallel;0.78
5000;4;0.194380;50;parallel;1.03
5000;8;0.156062;50;parallel;1.28
5000;16;0.048762;50;parallel;4.10
5000;32;0.019673;50;parallel;10.17
5000;64;0.013436;50;parallel;14.89



20000;1;12.146649;2;parallel;0.26
20000;2;7.367984;2;parallel;0.43
20000;4;3.179055;2;parallel;1.01
20000;8;2.067529;2;parallel;1.55
20000;16;1.182588;2;parallel;2.71
20000;32;0.694646;2;parallel;4.61
20000;64;0.660148;2;parallel;4.85
20000;1;7.309998;4;parallel;0.44
20000;2;3.968368;4;parallel;0.81
20000;4;2.737185;4;parallel;1.17
20000;8;1.416913;4;parallel;2.26
20000;16;1.069600;4;parallel;2.99
20000;32;0.993520;4;parallel;3.22
20000;64;0.518700;4;parallel;6.17
20000;1;6.665154;5;parallel;0.48
20000;2;3.561881;5;parallel;0.90
20000;4;2.320749;5;parallel;1.38
20000;8;1.255039;5;parallel;2.55
20000;16;0.766978;5;parallel;4.17
20000;32;0.760997;5;parallel;4.21
20000;64;0.633524;5;parallel;5.05
20000;1;6.052621;8;parallel;0.53
20000;2;4.087145;8;parallel;0.78
20000;4;2.446865;8;parallel;1.31
20000;8;1.170829;8;parallel;2.73
20000;16;0.959570;8;parallel;3.33
20000;32;0.493574;8;parallel;6.48
20000;64;0.559886;8;parallel;5.72
20000;1;6.124798;10;parallel;0.52
20000;2;4.369416;10;parallel;0.73
20000;4;2.143307;10;parallel;1.49
20000;8;1.186429;10;parallel;2.70
20000;16;0.619868;10;parallel;5.16
20000;32;0.591903;10;parallel;5.41
20000;64;0.495371;10;parallel;6.46
20000;1;5.806895;16;parallel;0.55
20000;2;3.265648;16;parallel;0.98
20000;4;1.727794;16;parallel;1.85
20000;8;1.374818;16;parallel;2.33
20000;16;0.752398;16;parallel;4.25
20000;32;0.432464;16;parallel;7.40
20000;64;0.646164;16;parallel;4.95
20000;1;5.816721;20;parallel;0.55
20000;2;4.266933;20;parallel;0.75
20000;4;2.278773;20;parallel;1.40
20000;8;1.273513;20;parallel;2.51
20000;16;0.824100;20;parallel;3.88
20000;32;0.674602;20;parallel;4.74
20000;64;0.482054;20;parallel;6.64
20000;1;5.358290;25;parallel;0.60
20000;2;3.251399;25;parallel;0.98
20000;4;1.881205;25;parallel;1.70
20000;8;1.125184;25;parallel;2.84
20000;16;0.776828;25;parallel;4.12
20000;32;0.372883;25;parallel;8.58
20000;64;0.348576;25;parallel;9.18
20000;1;6.376153;32;parallel;0.50
20000;2;3.183585;32;parallel;1.01
20000;4;1.882940;32;parallel;1.70
20000;8;1.163398;32;parallel;2.75
20000;16;0.793272;32;parallel;4.03
20000;32;0.661461;32;parallel;4.84
20000;64;0.694860;32;parallel;4.61
20000;1;6.445420;40;parallel;0.50
20000;2;3.257840;40;parallel;0.98
20000;4;1.900244;40;parallel;1.68
20000;8;1.105216;40;parallel;2.90
20000;16;0.756685;40;parallel;4.23
20000;32;0.909831;40;parallel;3.52
20000;64;0.710292;40;parallel;4.51
20000;1;6.029400;50;parallel;0.53
20000;2;4.058818;50;parallel;0.79
20000;4;2.071816;50;parallel;1.54
20000;8;1.167584;50;parallel;2.74
20000;16;0.710564;50;parallel;4.50
20000;32;0.769022;50;parallel;4.16
20000;64;0.410174;50;parallel;7.80
20000;1;6.036102;80;parallel;0.53
20000;2;3.172922;80;parallel;1.01
20000;4;1.832992;80;parallel;1.75
20000;8;1.137314;80;parallel;2.81
20000;16;0.777358;80;parallel;4.12
20000;32;0.476366;80;parallel;6.72
20000;64;0.431910;80;parallel;7.41
20000;1;6.337020;100;parallel;0.50
20000;2;3.926832;100;parallel;0.81
20000;4;1.918524;100;parallel;1.67
20000;8;1.185923;100;parallel;2.70
20000;16;1.023762;100;parallel;3.13
20000;32;0.655990;100;parallel;4.88
20000;64;0.418436;100;parallel;7.65
20000;1;6.740321;125;parallel;0.47
20000;2;2.877253;125;parallel;1.11
20000;4;1.744482;125;parallel;1.83
20000;8;1.206589;125;parallel;2.65
20000;16;0.864110;125;parallel;3.70
20000;32;0.380879;125;parallel;8.40
20000;64;0.549317;125;parallel;5.83

80000;1;39.975323;2;parallel;1.28
80000;2;21.660284;2;parallel;2.36
80000;4;10.426532;2;parallel;4.91
80000;8;6.068790;2;parallel;8.44
80000;16;4.973051;2;parallel;10.30
80000;32;3.234888;2;parallel;15.83
80000;64;2.785257;2;parallel;18.38
80000;1;32.969963;4;parallel;1.55
80000;2;17.119005;4;parallel;2.99
80000;4;8.682876;4;parallel;5.90
80000;8;6.174089;4;parallel;8.29
80000;16;3.585957;4;parallel;14.28
80000;32;2.421419;4;parallel;21.14
80000;64;1.945538;4;parallel;26.32
80000;1;32.461641;5;parallel;1.58
80000;2;17.313498;5;parallel;2.96
80000;4;10.234059;5;parallel;5.00
80000;8;5.353760;5;parallel;9.56
80000;16;3.610295;5;parallel;14.18
80000;32;2.446820;5;parallel;20.93
80000;64;2.032029;5;parallel;25.20
80000;1;31.351892;8;parallel;1.63
80000;2;17.003922;8;parallel;3.01
80000;4;7.459032;8;parallel;6.86
80000;8;4.711197;8;parallel;10.87
80000;16;2.699167;8;parallel;18.97
80000;32;2.388077;8;parallel;21.44
80000;64;1.897618;8;parallel;26.98
80000;1;29.699641;10;parallel;1.72
80000;2;14.746190;10;parallel;3.47
80000;4;8.602450;10;parallel;5.95
80000;8;6.277213;10;parallel;8.16
80000;16;2.715492;10;parallel;18.85
80000;32;1.998732;10;parallel;25.62
80000;64;1.483705;10;parallel;34.51
80000;1;27.303799;16;parallel;1.88
80000;2;13.892512;16;parallel;3.69
80000;4;7.747019;16;parallel;6.61
80000;8;4.590760;16;parallel;11.15
80000;16;2.469602;16;parallel;20.73
80000;32;1.873657;16;parallel;27.33
80000;64;1.761600;16;parallel;29.06
80000;1;27.166813;20;parallel;1.88
80000;2;13.432346;20;parallel;3.81
80000;4;6.779976;20;parallel;7.55
80000;8;5.164985;20;parallel;9.91
80000;16;2.571332;20;parallel;19.91
80000;32;1.843750;20;parallel;27.77
80000;64;1.435743;20;parallel;35.66
80000;1;26.683290;25;parallel;1.92
80000;2;14.625320;25;parallel;3.50
80000;4;7.565847;25;parallel;6.77
80000;8;3.979464;25;parallel;12.87
80000;16;2.748897;25;parallel;18.63
80000;32;1.954845;25;parallel;26.19
80000;64;1.457589;25;parallel;35.13
80000;1;28.515703;32;parallel;1.80
80000;2;14.777248;32;parallel;3.46
80000;4;7.051414;32;parallel;7.26
80000;8;4.435600;32;parallel;11.54
80000;16;2.226107;32;parallel;23.00
80000;32;1.717427;32;parallel;29.81
80000;64;1.493668;32;parallel;34.28
80000;1;27.545131;40;parallel;1.86
80000;2;15.566133;40;parallel;3.29
80000;4;7.309412;40;parallel;7.00
80000;8;4.111355;40;parallel;12.45
80000;16;2.580053;40;parallel;19.84
80000;32;1.829589;40;parallel;27.98
80000;64;1.357366;40;parallel;37.72
80000;1;29.137083;50;parallel;1.76
80000;2;17.422473;50;parallel;2.94
80000;4;8.090395;50;parallel;6.33
80000;8;4.315211;50;parallel;11.87
80000;16;2.203523;50;parallel;23.24
80000;32;1.545696;50;parallel;33.12
80000;64;1.270163;50;parallel;40.31
80000;1;27.610449;64;parallel;1.85
80000;2;13.739244;64;parallel;3.73
80000;4;7.223534;64;parallel;7.09
