Dimension;Threads;Elapsed time;Method
1250;1;0.710000;serial
1250;1;0.017500;parallel
1250;2;0.006868;parallel
1250;4;0.005151;parallel
1250;8;0.002690;parallel
1250;16;0.001519;parallel
1250;32;0.000864;parallel
1250;64;0.000533;parallel
5000;1;1.250000;serial
5000;1;0.433587;parallel
5000;2;0.173988;parallel
5000;4;0.091507;parallel
5000;8;0.173496;parallel
5000;16;0.125843;parallel
5000;32;0.015096;parallel
5000;64;0.009048;parallel
20000;1;10.780000;serial
20000;1;9.681997;parallel
20000;2;4.898556;parallel
20000;4;2.401035;parallel
20000;8;1.999748;parallel
20000;16;1.293617;parallel
20000;32;0.772922;parallel
20000;64;0.667974;parallel
80000;1;250.570000;serial
80000;1;64.783933;parallel
80000;2;34.668948;parallel
80000;4;18.649299;parallel
80000;8;10.725130;parallel
80000;16;6.443242;parallel
80000;32;4.386200;parallel
80000;64;3.039912;parallel
