Dimension;Threads_num;Elapsed time;Block size,Method
1250;1;0.930000;2;serial
1250;1;0.019682;2;parallel
1250;2;0.048768;2;parallel
1250;4;0.026257;2;parallel
1250;8;0.037172;2;parallel
1250;16;0.025995;2;parallel
1250;32;0.001333;2;parallel
1250;64;0.000868;2;parallel
1250;1;0.940000;5;serial
1250;1;0.021174;5;parallel
1250;2;0.011052;5;parallel
1250;4;0.006578;5;parallel
1250;8;0.003654;5;parallel
1250;16;0.002075;5;parallel
1250;32;0.001138;5;parallel
1250;64;0.000726;5;parallel
1250;1;0.810000;10;serial
1250;1;0.019263;10;parallel
1250;2;0.014690;10;parallel
1250;4;0.008823;10;parallel
1250;8;0.003007;10;parallel
1250;16;0.001684;10;parallel
1250;32;0.000949;10;parallel
1250;64;0.000532;10;parallel
1250;1;0.620000;25;serial
1250;1;0.018199;25;parallel
1250;2;0.124963;25;parallel
1250;4;0.018412;25;parallel
1250;8;0.014811;25;parallel
1250;16;0.039002;25;parallel
1250;32;0.026001;25;parallel
1250;64;0.025998;25;parallel
5000;1;1.260000;2;serial
5000;1;0.518230;2;parallel
5000;2;0.290385;2;parallel
5000;4;0.440227;2;parallel
5000;8;0.063671;2;parallel
5000;16;0.058404;2;parallel
5000;32;0.045742;2;parallel
5000;64;0.016808;2;parallel
5000;1;1.130000;4;serial
5000;1;0.353036;4;parallel
5000;2;0.278296;4;parallel
5000;4;0.130430;4;parallel
5000;8;0.105716;4;parallel
5000;16;0.048397;4;parallel
5000;32;0.023896;4;parallel
5000;64;0.015581;4;parallel
5000;1;1.230000;5;serial
5000;1;0.377730;5;parallel
5000;2;0.270309;5;parallel
5000;4;0.119966;5;parallel
5000;8;0.068631;5;parallel
5000;16;0.034004;5;parallel
5000;32;0.034772;5;parallel
5000;64;0.066399;5;parallel
5000;1;1.190000;8;serial
5000;1;0.383030;8;parallel
5000;2;0.149874;8;parallel
5000;4;0.340487;8;parallel
5000;8;0.101525;8;parallel
5000;16;0.033010;8;parallel
5000;32;0.021877;8;parallel
5000;64;0.014036;8;parallel
5000;1;1.180000;10;serial
5000;1;0.400147;10;parallel
5000;2;0.191515;10;parallel
5000;4;0.136268;10;parallel
5000;8;0.055374;10;parallel
5000;16;0.028766;10;parallel
5000;32;0.019454;10;parallel
5000;64;0.013950;10;parallel
5000;1;1.110000;20;serial
5000;1;0.556238;20;parallel
5000;2;0.229751;20;parallel
5000;4;0.103688;20;parallel
5000;8;0.051024;20;parallel
5000;16;0.030945;20;parallel
5000;32;0.019981;20;parallel
5000;64;0.014152;20;parallel
5000;1;1.170000;25;serial
5000;1;0.404520;25;parallel
5000;2;0.295320;25;parallel
5000;4;0.089847;25;parallel
5000;8;0.104523;25;parallel
5000;16;0.031242;25;parallel
5000;32;0.020242;25;parallel
5000;64;0.079636;25;parallel
5000;1;1.240000;40;serial
5000;1;0.282205;40;parallel
5000;2;0.250471;40;parallel
5000;4;0.147892;40;parallel
5000;8;0.048987;40;parallel
5000;16;0.154729;40;parallel
5000;32;0.072034;40;parallel
5000;64;0.018004;40;parallel
5000;1;1.100000;50;serial
5000;1;0.274277;50;parallel
5000;2;0.257894;50;parallel
5000;4;0.194380;50;parallel
5000;8;0.156062;50;parallel
5000;16;0.048762;50;parallel
5000;32;0.019673;50;parallel
5000;64;0.013436;50;parallel
20000;1;9.360000;2;serial
20000;1;12.146649;2;parallel
20000;2;7.367984;2;parallel
20000;4;3.179055;2;parallel
20000;8;2.067529;2;parallel
20000;16;1.182588;2;parallel
20000;32;0.694646;2;parallel
20000;64;0.660148;2;parallel
20000;1;6.620000;4;serial
20000;1;7.309998;4;parallel
20000;2;3.968368;4;parallel
20000;4;2.737185;4;parallel
20000;8;1.416913;4;parallel
20000;16;1.069600;4;parallel
20000;32;0.993520;4;parallel
20000;64;0.518700;4;parallel
20000;1;5.560000;5;serial
20000;1;6.665154;5;parallel
20000;2;3.561881;5;parallel
20000;4;2.320749;5;parallel
20000;8;1.255039;5;parallel
20000;16;0.766978;5;parallel
20000;32;0.760997;5;parallel
20000;64;0.633524;5;parallel
20000;1;5.010000;8;serial
20000;1;6.052621;8;parallel
20000;2;4.087145;8;parallel
20000;4;2.446865;8;parallel
20000;8;1.170829;8;parallel
20000;16;0.959570;8;parallel
20000;32;0.493574;8;parallel
20000;64;0.559886;8;parallel
20000;1;4.810000;10;serial
20000;1;6.124798;10;parallel
20000;2;4.369416;10;parallel
20000;4;2.143307;10;parallel
20000;8;1.186429;10;parallel
20000;16;0.619868;10;parallel
20000;32;0.591903;10;parallel
20000;64;0.495371;10;parallel
20000;1;4.990000;16;serial
20000;1;5.806895;16;parallel
20000;2;3.265648;16;parallel
20000;4;1.727794;16;parallel
20000;8;1.374818;16;parallel
20000;16;0.752398;16;parallel
20000;32;0.432464;16;parallel
20000;64;0.646164;16;parallel
20000;1;4.510000;20;serial
20000;1;5.816721;20;parallel
20000;2;4.266933;20;parallel
20000;4;2.278773;20;parallel
20000;8;1.273513;20;parallel
20000;16;0.824100;20;parallel
20000;32;0.674602;20;parallel
20000;64;0.482054;20;parallel
20000;1;4.720000;25;serial
20000;1;5.358290;25;parallel
20000;2;3.251399;25;parallel
20000;4;1.881205;25;parallel
20000;8;1.125184;25;parallel
20000;16;0.776828;25;parallel
20000;32;0.372883;25;parallel
20000;64;0.348576;25;parallel
20000;1;4.550000;32;serial
20000;1;6.376153;32;parallel
20000;2;3.183585;32;parallel
20000;4;1.882940;32;parallel
20000;8;1.163398;32;parallel
20000;16;0.793272;32;parallel
20000;32;0.661461;32;parallel
20000;64;0.694860;32;parallel
20000;1;4.390000;40;serial
20000;1;6.445420;40;parallel
20000;2;3.257840;40;parallel
20000;4;1.900244;40;parallel
20000;8;1.105216;40;parallel
20000;16;0.756685;40;parallel
20000;32;0.909831;40;parallel
20000;64;0.710292;40;parallel
20000;1;4.830000;50;serial
20000;1;6.029400;50;parallel
20000;2;4.058818;50;parallel
20000;4;2.071816;50;parallel
20000;8;1.167584;50;parallel
20000;16;0.710564;50;parallel
20000;32;0.769022;50;parallel
20000;64;0.410174;50;parallel
20000;1;4.940000;80;serial
20000;1;6.036102;80;parallel
20000;2;3.172922;80;parallel
20000;4;1.832992;80;parallel
20000;8;1.137314;80;parallel
20000;16;0.777358;80;parallel
20000;32;0.476366;80;parallel
20000;64;0.431910;80;parallel
20000;1;5.670000;100;serial
20000;1;6.337020;100;parallel
20000;2;3.926832;100;parallel
20000;4;1.918524;100;parallel
20000;8;1.185923;100;parallel
20000;16;1.023762;100;parallel
20000;32;0.655990;100;parallel
20000;64;0.418436;100;parallel
20000;1;5.550000;125;serial
20000;1;6.740321;125;parallel
20000;2;2.877253;125;parallel
20000;4;1.744482;125;parallel
20000;8;1.206589;125;parallel
20000;16;0.864110;125;parallel
20000;32;0.380879;125;parallel
20000;64;0.549317;125;parallel
80000;1;89.930000;2;serial
80000;1;39.975323;2;parallel
80000;2;21.660284;2;parallel
80000;4;10.426532;2;parallel
80000;8;6.068790;2;parallel
80000;16;4.973051;2;parallel
80000;32;3.234888;2;parallel
80000;64;2.785257;2;parallel
80000;1;67.730000;4;serial
80000;1;32.969963;4;parallel
80000;2;17.119005;4;parallel
80000;4;8.682876;4;parallel
80000;8;6.174089;4;parallel
80000;16;3.585957;4;parallel
80000;32;2.421419;4;parallel
80000;64;1.945538;4;parallel
80000;1;63.670000;5;serial
80000;1;32.461641;5;parallel
80000;2;17.313498;5;parallel
80000;4;10.234059;5;parallel
80000;8;5.353760;5;parallel
80000;16;3.610295;5;parallel
80000;32;2.446820;5;parallel
80000;64;2.032029;5;parallel
80000;1;58.240000;8;serial
80000;1;31.351892;8;parallel
80000;2;17.003922;8;parallel
80000;4;7.459032;8;parallel
80000;8;4.711197;8;parallel
80000;16;2.699167;8;parallel
80000;32;2.388077;8;parallel
80000;64;1.897618;8;parallel
80000;1;53.210000;10;serial
80000;1;29.699641;10;parallel
80000;2;14.746190;10;parallel
80000;4;8.602450;10;parallel
80000;8;6.277213;10;parallel
80000;16;2.715492;10;parallel
80000;32;1.998732;10;parallel
80000;64;1.483705;10;parallel
80000;1;47.000000;16;serial
80000;1;27.303799;16;parallel
80000;2;13.892512;16;parallel
80000;4;7.747019;16;parallel
80000;8;4.590760;16;parallel
80000;16;2.469602;16;parallel
80000;32;1.873657;16;parallel
80000;64;1.761600;16;parallel
80000;1;47.320000;20;serial
80000;1;27.166813;20;parallel
80000;2;13.432346;20;parallel
80000;4;6.779976;20;parallel
80000;8;5.164985;20;parallel
80000;16;2.571332;20;parallel
80000;32;1.843750;20;parallel
80000;64;1.435743;20;parallel
80000;1;45.230000;25;serial
80000;1;26.683290;25;parallel
80000;2;14.625320;25;parallel
80000;4;7.565847;25;parallel
80000;8;3.979464;25;parallel
80000;16;2.748897;25;parallel
80000;32;1.954845;25;parallel
80000;64;1.457589;25;parallel
80000;1;45.750000;32;serial
80000;1;28.515703;32;parallel
80000;2;14.777248;32;parallel
80000;4;7.051414;32;parallel
80000;8;4.435600;32;parallel
80000;16;2.226107;32;parallel
80000;32;1.717427;32;parallel
80000;64;1.493668;32;parallel
80000;1;46.260000;40;serial
80000;1;27.545131;40;parallel
