Dimension;Threads_num;Elapsed_time_sparse;GFLOPS_sparse;Speedup_sparse;Efficiency_sparse;Elapsed_time_dense;GFLOPS_dense;Speedup_dense;Efficiency_dense
500;1;0.476471;0.524691;1.000000;100.000000;0.502003;0.498005;1.000000;100.000000
500;2;0.386759;0.646398;1.231958;61.597920;0.263361;0.949267;1.906140;95.307012
500;4;0.129242;1.934362;3.686658;92.166440;0.139082;1.797502;3.609403;90.235077
500;8;0.066083;3.783143;7.210190;90.127378;0.063702;3.924495;7.880490;98.506130
500;16;0.040077;6.237963;11.888889;74.305556;0.032124;7.782443;15.627039;97.668994
500;32;0.024733;10.107789;19.264586;60.201831;0.016180;15.451091;31.026143;96.956698
500;64;0.010484;23.846490;45.447444;71.011631;0.008081;30.937463;62.121396;97.064681
1000;1;5.357345;0.373319;1.000000;100.000000;4.493901;0.445048;1.000000;100.000000
1000;2;2.738126;0.730427;1.956574;97.828679;2.243545;0.891446;2.003036;100.151791
1000;4;1.342043;1.490265;3.991932;99.798311;1.132803;1.765532;3.967063;99.176578
1000;8;0.683454;2.926310;7.838633;97.982911;0.572014;3.496418;7.856278;98.203475
1000;16;0.359368;5.565326;14.907685;93.173032;0.299309;6.682056;15.014253;93.839080
1000;32;0.199986;10.000703;26.788600;83.714376;0.140212;14.264096;32.050759;100.158621
1000;64;0.135772;14.730544;39.458393;61.653740;0.070924;28.199243;63.362205;99.003445
2000;1;35.711653;0.448033;1.000000;100.000000;43.562821;0.367286;1.000000;100.000000
2000;2;18.846642;0.848958;1.894855;94.742748;28.370679;0.563963;1.535487;76.774372
2000;4;9.597469;1.667106;3.720945;93.023622;10.083263;1.586788;4.320310;108.007748
2000;8;4.916110;3.254606;7.264210;90.802619;5.065597;3.158562;8.599741;107.496760
2000;16;2.674297;5.982881;13.353660;83.460375;2.540204;6.298706;17.149340;107.183372
2000;32;1.442066;11.095193;24.764229;77.388216;1.330704;12.023715;32.736672;102.302101
2000;64;0.925721;17.283829;48.087042;75.136004;0.905916;17.661681;48.087042;75.136004
4000;1;556.725220;0.229916;1.000000;100.000000;536.013236;0.238800;1.000000;100.000000
4000;2;302.319330;0.423393;1.841514;92.075690;248.298123;0.515509;2.158749;107.937432
4000;4;163.636083;0.782224;3.402216;85.055388;126.391029;1.012730;4.240912;106.022801
4000;8;83.774800;1.527906;6.645497;97.460896;68.747218;1.861894;7.796872;97.460896
4000;16;35.309276;3.625110;15.767109;98.544434;36.863606;3.472259;14.540445;90.877781
4000;32;18.179423;7.040928;30.623921;95.699754;19.285557;6.637091;27.793506;86.854705
4000;64;10.219334;12.525278;54.477642;85.121316;11.586069;11.047750;46.263598;72.286872
