Dimension;Threads_num;Elapsed_time;GFLOPS
500;1;0.950000;0.263158
500;1;0.476471;0.524691
500;2;0.386759;0.646398
500;4;0.129242;1.934362
500;8;0.066083;3.783143
500;16;0.040077;6.237963
500;32;0.024733;10.107789
500;64;0.010484;23.846490
1000;1;4.630000;0.431965
1000;1;5.357345;0.373319
1000;2;2.738126;0.730427
1000;4;1.342043;1.490265
1000;8;0.683454;2.926310
1000;16;0.359368;5.565326
1000;32;0.199986;10.000703
1000;64;0.135772;14.730544
2000;1;29.590000;0.540723
2000;1;35.711653;0.448033
2000;2;18.846642;0.848958
2000;4;9.597469;1.667106
2000;8;4.916110;3.254606
2000;16;2.674297;5.982881
2000;32;1.442066;11.095193
2000;64;0.925721;17.283829
4000;1;236.420000;0.541409
4000;1;556.725220;0.229916
4000;2;302.319330;0.423393
4000;4;163.636083;0.782224
4000;8;83.774800;1.527906
4000;16;35.309276;3.625110
4000;32;18.179423;7.040928
4000;64;10.219334;12.525278
