Dimension;Threads;Elapsed time;Method;Bandwidth
1250;1;0.010009;parallel;1.25
1250;2;0.006952;parallel;1.80
1250;4;0.003689;parallel;3.39
1250;8;0.002000;parallel;6.25
1250;16;0.001144;parallel;10.93
1250;32;0.000639;parallel;19.56
1250;64;0.000257;parallel;48.64
5000;1;0.260901;parallel;0.77
5000;2;0.156423;parallel;1.28
5000;4;0.079207;parallel;2.53
5000;8;0.047585;parallel;4.20
5000;16;0.025896;parallel;7.72
5000;32;0.014178;parallel;14.11
5000;64;0.008743;parallel;22.88
20000;1;8.110962;parallel;0.39
20000;2;4.492855;parallel;0.71
20000;4;2.441272;parallel;1.31
20000;8;1.592682;parallel;2.01
20000;16;0.683758;parallel;4.68
20000;32;0.405558;parallel;7.89
20000;64;0.320059;parallel;10.00
80000;1;85.539423;parallel;0.60
80000;2;45.656920;parallel;1.12
80000;4;22.075226;parallel;2.32
80000;8;11.179035;parallel;4.58
80000;16;5.974215;parallel;8.57
80000;32;3.393203;parallel;15.09
80000;64;2.515913;parallel;20.35
