Dimension;Threads;Elapsed time;Method
1250;1;0.920000;serial
1250;1;0.010009;parallel
1250;2;0.006952;parallel
1250;4;0.003689;parallel
1250;8;0.002000;parallel
1250;16;0.001144;parallel
1250;32;0.000639;parallel
1250;64;0.000257;parallel
5000;1;1.300000;serial
5000;1;0.260901;parallel
5000;2;0.156423;parallel
5000;4;0.079207;parallel
5000;8;0.047585;parallel
5000;16;0.025896;parallel
5000;32;0.014178;parallel
5000;64;0.008743;parallel
20000;1;9.560000;serial
20000;1;8.110962;parallel
20000;2;4.492855;parallel
20000;4;2.441272;parallel
20000;8;1.592682;parallel
20000;16;0.683758;parallel
20000;32;0.405558;parallel
20000;64;0.320059;parallel
80000;1;192.390000;serial
80000;1;85.539423;parallel
80000;2;45.656920;parallel
80000;4;22.075226;parallel
80000;8;11.179035;parallel
80000;16;5.974215;parallel
80000;32;3.393203;parallel
80000;64;2.515913;parallel
